"Name","Classes","LL","n","Parameters","AIC","BIC","saBIC","Entropy","prob_min","prob_max","n_min","n_max","np_ratio","np_local"
"equal var 1",1,-1641.07736543489,513,8,3298.15473086977,3332.07693763114,3306.6836354323,1,1,1,1,1,64.125,64.125
"equal var 2",2,-1397.43263370325,513,13,2820.8652674065,2875.98885339372,2834.7247373206,0.822048218206483,0.944271266775716,0.952323755341151,0.467836257309941,0.532163742690059,39.4615384615385,40
"equal var 3",3,-1331.99221769106,513,18,2699.98443538212,2776.30940059519,2719.1744706478,0.804503705057045,0.849446958888917,0.946944671434902,0.274853801169591,0.391812865497076,28.5,26.4375
"equal var 4",4,-1287.30822239214,513,23,2620.61644478428,2718.1427892232,2645.13704540154,0.7895168579223,0.858332437041831,0.891278733305788,0.155945419103314,0.350877192982456,22.304347826087,16
"equal var 5",5,-1234.27537091578,513,28,2524.55074183157,2643.27846549635,2554.40190780041,0.85219058821022,0.827812060163905,0.947690598833125,0.126705653021442,0.270955165692008,18.3214285714286,13.5416666666667
"equal var 6",6,-1221.91601104382,513,33,2509.83202208763,2649.76112497827,2545.01375340805,0.85292823299298,0.586321699272922,0.951624298992048,0.0253411306042885,0.267056530214425,15.5454545454545,2.78571428571429
